City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
152,petawawa,0,CA,1526501609,35,45.89,-77.27,72.12,8.52
153,sao filipe,0,CV,1526501610,97,14.9,-24.5,71.22,16.46
154,chino valley,1,US,1526499300,8,34.76,-112.45,82.4,14.99
155,huarmey,8,PE,1526501611,60,-10.07,-78.15,74.82,4.16
156,kigoma,44,TZ,1526501611,100,-4.88,29.64,74.55,4.38
157,san cristobal,75,EC,1526500800,72,-0.39,-78.55,59.0,10.29
158,kaeo,32,NZ,1526501612,99,-35.1,173.78,55.74,7.63
159,sokoto,80,NG,1526501612,42,13.06,5.24,89.4,7.4
160,ponta delgada,20,PT,1526499000,68,37.73,-25.67,64.4,14.99
161,grand gaube,20,MU,1526500800,88,-20.01,57.66,69.8,5.82
162,alyangula,0,AU,1526501613,95,-13.85,136.42,77.52,23.06
163,souillac,0,FR,1526499000,77,45.6,-0.6,64.4,8.05
164,bend,75,US,1526499300,87,44.06,-121.32,60.8,4.38
165,ayan,0,TR,1526501614,84,40.67,33.6,48.72,2.15
166,airai,36,TL,1526501615,84,-8.93,125.41,60.24,2.26
167,deniliquin,0,AU,1526501615,93,-35.53,144.96,38.1,6.4
168,lakes entrance,76,AU,1526501615,89,-37.88,147.99,52.95,10.76
169,castro,92,CL,1526501616,80,-42.48,-73.76,49.89,6.62
170,mareeba,75,AU,1526499000,83,-16.99,145.42,71.6,10.29
171,mandurah,0,AU,1526499000,66,-32.55,115.7,53.6,8.05
172,anadyr,0,RU,1526497200,74,64.73,177.51,35.6,6.71
173,tuatapere,20,NZ,1526501617,100,-46.13,167.69,46.47,19.71
174,cockburn town,24,TC,1526501552,98,21.46,-71.14,78.96,21.83
175,noumea,75,NC,1526499000,88,-22.28,166.46,68.0,4.7
176,katobu,88,ID,1526501618,100,-4.94,122.53,76.17,1.59
177,kaitangata,0,NZ,1526501618,74,-46.28,169.85,39.9,18.03
178,muros,0,ES,1526499000,76,42.77,-9.06,57.2,13.87
179,dalianwan,90,CN,1526500800,100,39.03,121.69,59.0,2.24
180,honningsvag,76,NO,1526501564,81,70.98,25.97,42.42,18.48
181,yumen,0,CN,1526501620,70,40.29,97.04,46.47,5.39
182,alihe,12,CN,1526501620,82,50.57,123.73,36.48,2.37
183,sao geraldo do araguaia,24,BR,1526501329,87,-6.4,-48.55,76.98,3.15
184,lagoa,0,PT,1526497200,72,37.14,-8.45,66.2,9.17
185,ulaangom,0,MN,1526501622,39,49.98,92.07,34.14,5.39
186,gladstone,48,AU,1526501622,100,-23.84,151.26,62.4,12.1
187,port augusta,0,AU,1526497200,76,-32.49,137.76,51.8,9.17
188,vardo,90,US,1526500500,94,39.62,-77.74,73.4,6.93
189,kavaratti,56,IN,1526501623,99,10.57,72.64,86.7,6.17
190,cherskiy,0,RU,1526501623,73,68.75,161.3,40.8,4.72
191,at-bashi,92,KG,1526501624,98,41.17,75.81,40.26,2.37
192,borogontsy,0,RU,1526501624,57,62.67,131.17,34.32,7.4
193,masinloc,56,PH,1526501624,100,15.54,119.95,77.25,4.16
194,nara,75,JP,1526500800,78,34.68,135.8,71.6,6.93
195,lata,0,IN,1526501625,80,30.78,78.62,49.8,1.7
196,belaya gora,68,RU,1526501626,98,68.54,146.19,28.47,5.61
197,lompoc,1,US,1526499300,35,34.64,-120.46,69.8,4.7
198,inndyr,75,NO,1526496600,87,67.03,14.03,42.8,18.34
